ID,Title,Description,URL,Format,Tags,Tone,Audience,Source,Language,combined,clean
1,How to Manage Fear and Anxiety,Comprehensive guide explaining the origins of fear and anxiety with practical coping strategies for daily life.,https://www.mentalhealth.org.uk/explore-mental-health/publications/how-overcome-anxiety-and-fear,Guide,anxiety|coping|fear|mental-health,supportive,all,Mental Health Foundation,English,How to Manage Fear and Anxiety Comprehensive guide explaining the origins of fear and anxiety with practical coping strategies for daily life. anxiety|coping|fear|mental-health Guide supportive all English,manag fear anxieti comprehens guid explain origin fear anxieti practic cope strategi daili life anxieti cope fear mental health guid support english
190,Autogenic Training Relaxation,Progressive relaxation technique using self-suggestions to reduce anxiety and promote calm.,https://www.anxietycanada.com/articles/autogenic-training/,Guide,relaxation|anxiety|techniques|self-help,calm,all,Anxiety Canada,English,Autogenic Training Relaxation Progressive relaxation technique using self-suggestions to reduce anxiety and promote calm. relaxation|anxiety|techniques|self-help Guide calm all English,autogen train relax progress relax techniqu use self suggest reduc anxieti promot calm relax anxieti techniqu self help guid calm english
191,Phone Addiction and Anxiety,Understanding the connection between smartphone overuse anxiety and strategies for healthy usage.,https://www.verywellmind.com/how-to-tell-if-you-are-addicted-to-your-smartphone-4177715,Article,digital-wellbeing|anxiety|addiction|balance,informative,young_adults,Verywell Mind,English,Phone Addiction and Anxiety Understanding the connection between smartphone overuse anxiety and strategies for healthy usage. digital-wellbeing|anxiety|addiction|balance Article informative young_adults English,phone addict anxieti understand connect smartphon overus anxieti strategi healthi usag digit wellb anxieti addict balanc articl inform young adult english
193,Environmental Psychology,How your environment affects mental health with tips for creating calming supportive spaces.,https://www.psychologytoday.com/us/blog/the-gen-y-guide/201807/how-your-environment-affects-your-mental-health,Article,environment|space|mental-health|wellbeing,informative,all,Psychology Today,English,Environmental Psychology How your environment affects mental health with tips for creating calming supportive spaces. environment|space|mental-health|wellbeing Article informative all English,environment psycholog environ affect mental health tip creat calm support space environ space mental health wellb articl inform english
194,Urge Surfing Technique,Mindfulness technique for riding out intense urges and cravings without acting on them.,https://portlandpsychotherapyclinic.com/2011/11/riding-wave-using-mindfulness-help-cope-urges/,Article,mindfulness|urges|coping|self-control,supportive,all,PPC,English,Urge Surfing Technique Mindfulness technique for riding out intense urges and cravings without acting on them. mindfulness|urges|coping|self-control Article supportive all English,urg surf techniqu mind techniqu ride intens urg crave without act mind urg cope self control articl support english
195,Decision Fatigue Management,Understanding decision fatigue and strategies to reduce mental exhaustion from constant choices.,https://www.verywellmind.com/decision-fatigue-what-it-is-and-how-to-avoid-it-5213008,Article,fatigue|stress|decisions|mental-energy,informative,all,Verywell Mind,English,Decision Fatigue Management Understanding decision fatigue and strategies to reduce mental exhaustion from constant choices. fatigue|stress|decisions|mental-energy Article informative all English,decis fatigu manag understand decis fatigu strategi reduc mental exhaust constant choic fatigu stress decis mental energi articl inform english
198,Malaysian Mental Health Act,Information about mental health legislation and patient rights in Malaysia.,https://www.moh.gov.my/,Article,legislation|rights|malaysia|mental-health,informative,all,MOH Malaysia,English,Malaysian Mental Health Act Information about mental health legislation and patient rights in Malaysia. legislation|rights|malaysia|mental-health Article informative all English,malaysian mental health act inform mental health legisl patient right malaysia legisl right malaysia mental health articl inform english
199,Recovery College Approach,Understanding the recovery college model for mental health education and peer support.,https://www.mind.org.uk/information-support/drugs-and-treatments/recovery-colleges/,Article,recovery|education|peer-support|empowerment,informative,all,Mind UK,English,Recovery College Approach Understanding the recovery college model for mental health education and peer support. recovery|education|peer-support|empowerment Article informative all English,recoveri colleg approach understand recoveri colleg model mental health educ peer support recoveri educ peer support empower articl inform english
200,Dialectical Behavior Therapy Skills,Comprehensive guide to DBT skills including mindfulness distress tolerance and emotional regulation for mental health.,https://www.dbtselfhelp.com/,Guide,dbt|skills|coping|emotional-regulation,supportive,all,DBT Self Help,English,Dialectical Behavior Therapy Skills Comprehensive guide to DBT skills including mindfulness distress tolerance and emotional regulation for mental health. dbt|skills|coping|emotional-regulation Guide supportive all English,dialect behavior therapi skill comprehens guid dbt skill includ mind distress toler emot regul mental health dbt skill cope emot regul guid support english
200,Dialectical Behavior Therapy Skills,Comprehensive guide to DBT skills including mindfulness distress tolerance and emotional regulation for mental health.,https://www.dbtselfhelp.com/,Guide,dbt|skills|coping|emotional-regulation,supportive,all,DBT Self Help,English,Dialectical Behavior Therapy Skills Comprehensive guide to DBT skills including mindfulness distress tolerance and emotional regulation for mental health. dbt|skills|coping|emotional-regulation Guide supportive all English,dialect behavior therapi skill comprehens guid dbt skill includ mind distress toler emot regul mental health dbt skill cope emot regul guid support english
201,Forest Sounds for Sleep and Relaxation,Two-hour ambient forest sounds recording to promote deep sleep and stress reduction.,https://www.youtube.com/watch?v=xNN7iTA57jg,Audio,sleep|relaxation|nature|stress,calm,all,Soothing Relaxation,English,Forest Sounds for Sleep and Relaxation Two-hour ambient forest sounds recording to promote deep sleep and stress reduction. sleep|relaxation|nature|stress Audio calm all English,forest sound sleep relax two hour ambient forest sound record promot deep sleep stress reduct sleep relax natur stress audio calm english
201,Forest Sounds for Sleep and Relaxation,Two-hour ambient forest sounds recording to promote deep sleep and stress reduction.,https://www.youtube.com/watch?v=xNN7iTA57jg,Audio,sleep|relaxation|nature|stress,calm,all,Soothing Relaxation,English,Forest Sounds for Sleep and Relaxation Two-hour ambient forest sounds recording to promote deep sleep and stress reduction. sleep|relaxation|nature|stress Audio calm all English,forest sound sleep relax two hour ambient forest sound record promot deep sleep stress reduct sleep relax natur stress audio calm english
202,Rumination and Overthinking Guide,Evidence-based strategies to break the cycle of rumination and reduce excessive worrying.,https://www.psychologytoday.com/us/blog/in-therapy/201805/how-stop-ruminating,Article,rumination|anxiety|overthinking|coping,informative,all,Psychology Today,English,Rumination and Overthinking Guide Evidence-based strategies to break the cycle of rumination and reduce excessive worrying. rumination|anxiety|overthinking|coping Article informative all English,rumin overthink guid evid base strategi break cycl rumin reduc excess worri rumin anxieti overthink cope articl inform english
202,Rumination and Overthinking Guide,Evidence-based strategies to break the cycle of rumination and reduce excessive worrying.,https://www.psychologytoday.com/us/blog/in-therapy/201805/how-stop-ruminating,Article,rumination|anxiety|overthinking|coping,informative,all,Psychology Today,English,Rumination and Overthinking Guide Evidence-based strategies to break the cycle of rumination and reduce excessive worrying. rumination|anxiety|overthinking|coping Article informative all English,rumin overthink guid evid base strategi break cycl rumin reduc excess worri rumin anxieti overthink cope articl inform english
203,UM Counselling Centre Services,University of Malaya counselling services providing free mental health support for students.,https://www.um.edu.my/student-affairs/counselling-unit,Helpline,students|counseling|malaysia|university,supportive,students,UM,English,UM Counselling Centre Services University of Malaya counselling services providing free mental health support for students. students|counseling|malaysia|university Helpline supportive students English,um counsel centr servic univers malaya counsel servic provid free mental health support student student counsel malaysia univers helplin support student english
203,UM Counselling Centre Services,University of Malaya counselling services providing free mental health support for students.,https://www.um.edu.my/student-affairs/counselling-unit,Helpline,students|counseling|malaysia|university,supportive,students,UM,English,UM Counselling Centre Services University of Malaya counselling services providing free mental health support for students. students|counseling|malaysia|university Helpline supportive students English,um counsel centr servic univers malaya counsel servic provid free mental health support student student counsel malaysia univers helplin support student english
204,Anxiety Relief Coloring Pages,Downloadable therapeutic coloring pages designed to reduce anxiety and promote mindfulness.,https://www.therapistaid.com/therapy-worksheets/anxiety/none,Guide,anxiety|art-therapy|mindfulness|relaxation,calm,all,Therapist Aid,English,Anxiety Relief Coloring Pages Downloadable therapeutic coloring pages designed to reduce anxiety and promote mindfulness. anxiety|art-therapy|mindfulness|relaxation Guide calm all English,anxieti relief color page download therapeut color page design reduc anxieti promot mind anxieti art therapi mind relax guid calm english
204,Anxiety Relief Coloring Pages,Downloadable therapeutic coloring pages designed to reduce anxiety and promote mindfulness.,https://www.therapistaid.com/therapy-worksheets/anxiety/none,Guide,anxiety|art-therapy|mindfulness|relaxation,calm,all,Therapist Aid,English,Anxiety Relief Coloring Pages Downloadable therapeutic coloring pages designed to reduce anxiety and promote mindfulness. anxiety|art-therapy|mindfulness|relaxation Guide calm all English,anxieti relief color page download therapeut color page design reduc anxieti promot mind anxieti art therapi mind relax guid calm english
205,Understanding Burnout,Comprehensive article explaining burnout symptoms causes and evidence-based recovery strategies.,https://www.helpguide.org/articles/stress/burnout-prevention-and-recovery.htm,Article,burnout|stress|recovery|prevention,informative,all,HelpGuide,English,Understanding Burnout Comprehensive article explaining burnout symptoms causes and evidence-based recovery strategies. burnout|stress|recovery|prevention Article informative all English,understand burnout comprehens articl explain burnout symptom caus evid base recoveri strategi burnout stress recoveri prevent articl inform english
205,Understanding Burnout,Comprehensive article explaining burnout symptoms causes and evidence-based recovery strategies.,https://www.helpguide.org/articles/stress/burnout-prevention-and-recovery.htm,Article,burnout|stress|recovery|prevention,informative,all,HelpGuide,English,Understanding Burnout Comprehensive article explaining burnout symptoms causes and evidence-based recovery strategies. burnout|stress|recovery|prevention Article informative all English,understand burnout comprehens articl explain burnout symptom caus evid base recoveri strategi burnout stress recoveri prevent articl inform english
206,Box Breathing Technique Video,Short tutorial demonstrating the box breathing method for immediate anxiety and stress relief.,https://www.youtube.com/watch?v=tEmt1Znux58,Video,breathing|anxiety|techniques|stress,calm,all,Dr. Emma Seppälä,English,Box Breathing Technique Video Short tutorial demonstrating the box breathing method for immediate anxiety and stress relief. breathing|anxiety|techniques|stress Video calm all English,box breath techniqu video short tutori demonstr box breath method immedi anxieti stress relief breath anxieti techniqu stress video calm english
206,Box Breathing Technique Video,Short tutorial demonstrating the box breathing method for immediate anxiety and stress relief.,https://www.youtube.com/watch?v=tEmt1Znux58,Video,breathing|anxiety|techniques|stress,calm,all,Dr. Emma Seppälä,English,Box Breathing Technique Video Short tutorial demonstrating the box breathing method for immediate anxiety and stress relief. breathing|anxiety|techniques|stress Video calm all English,box breath techniqu video short tutori demonstr box breath method immedi anxieti stress relief breath anxieti techniqu stress video calm english
207,USM Student Counselling Services,Universiti Sains Malaysia counselling unit offering free mental health support for students.,https://www.usm.my/index.php/en/hal-ehwal-pelajar-1,Helpline,students|counseling|malaysia|university,supportive,students,USM,English,USM Student Counselling Services Universiti Sains Malaysia counselling unit offering free mental health support for students. students|counseling|malaysia|university Helpline supportive students English,usm student counsel servic univers sain malaysia counsel unit offer free mental health support student student counsel malaysia univers helplin support student english
207,USM Student Counselling Services,Universiti Sains Malaysia counselling unit offering free mental health support for students.,https://www.usm.my/index.php/en/hal-ehwal-pelajar-1,Helpline,students|counseling|malaysia|university,supportive,students,USM,English,USM Student Counselling Services Universiti Sains Malaysia counselling unit offering free mental health support for students. students|counseling|malaysia|university Helpline supportive students English,usm student counsel servic univers sain malaysia counsel unit offer free mental health support student student counsel malaysia univers helplin support student english
208,Thought Records for CBT,Interactive thought record worksheets to challenge negative thinking patterns and reduce anxiety.,https://www.getselfhelp.co.uk/freedownloads2.htm,Guide,cbt|thoughts|anxiety|depression,supportive,all,Get Self Help,English,Thought Records for CBT Interactive thought record worksheets to challenge negative thinking patterns and reduce anxiety. cbt|thoughts|anxiety|depression Guide supportive all English,thought record cbt interact thought record worksheet challeng neg think pattern reduc anxieti cbt thought anxieti depress guid support english
208,Thought Records for CBT,Interactive thought record worksheets to challenge negative thinking patterns and reduce anxiety.,https://www.getselfhelp.co.uk/freedownloads2.htm,Guide,cbt|thoughts|anxiety|depression,supportive,all,Get Self Help,English,Thought Records for CBT Interactive thought record worksheets to challenge negative thinking patterns and reduce anxiety. cbt|thoughts|anxiety|depression Guide supportive all English,thought record cbt interact thought record worksheet challeng neg think pattern reduc anxieti cbt thought anxieti depress guid support english
209,Sleep Hypnosis for Anxiety,Guided sleep hypnosis audio designed to calm anxiety and promote restful sleep.,https://www.youtube.com/watch?v=HYcl755RlBs,Audio,sleep|anxiety|hypnosis|relaxation,calm,all,Michael Sealey,English,Sleep Hypnosis for Anxiety Guided sleep hypnosis audio designed to calm anxiety and promote restful sleep. sleep|anxiety|hypnosis|relaxation Audio calm all English,sleep hypnosi anxieti guid sleep hypnosi audio design calm anxieti promot rest sleep sleep anxieti hypnosi relax audio calm english
209,Sleep Hypnosis for Anxiety,Guided sleep hypnosis audio designed to calm anxiety and promote restful sleep.,https://www.youtube.com/watch?v=HYcl755RlBs,Audio,sleep|anxiety|hypnosis|relaxation,calm,all,Michael Sealey,English,Sleep Hypnosis for Anxiety Guided sleep hypnosis audio designed to calm anxiety and promote restful sleep. sleep|anxiety|hypnosis|relaxation Audio calm all English,sleep hypnosi anxieti guid sleep hypnosi audio design calm anxieti promot rest sleep sleep anxieti hypnosi relax audio calm english
210,Social Anxiety Workbook,Evidence-based CBT workbook specifically designed to treat social anxiety disorder.,https://www.cci.health.wa.gov.au/Resources/Looking-After-Yourself/Social-Anxiety,Guide,social-anxiety|cbt|workbook|treatment,supportive,young_adults,CCI,English,Social Anxiety Workbook Evidence-based CBT workbook specifically designed to treat social anxiety disorder. social-anxiety|cbt|workbook|treatment Guide supportive young_adults English,social anxieti workbook evid base cbt workbook specif design treat social anxieti disord social anxieti cbt workbook treatment guid support young adult english
210,Social Anxiety Workbook,Evidence-based CBT workbook specifically designed to treat social anxiety disorder.,https://www.cci.health.wa.gov.au/Resources/Looking-After-Yourself/Social-Anxiety,Guide,social-anxiety|cbt|workbook|treatment,supportive,young_adults,CCI,English,Social Anxiety Workbook Evidence-based CBT workbook specifically designed to treat social anxiety disorder. social-anxiety|cbt|workbook|treatment Guide supportive young_adults English,social anxieti workbook evid base cbt workbook specif design treat social anxieti disord social anxieti cbt workbook treatment guid support young adult english
211,Mental Health First Aid Malaysia,Malaysian Mental Health Association's guide to providing mental health first aid in crisis situations.,https://mmha.org.my/mental-health-first-aid/,Article,crisis|first-aid|malaysia|support,informative,all,MMHA,English,Mental Health First Aid Malaysia Malaysian Mental Health Association's guide to providing mental health first aid in crisis situations. crisis|first-aid|malaysia|support Article informative all English,mental health first aid malaysia malaysian mental health associ guid provid mental health first aid crisi situat crisi first aid malaysia support articl inform english
211,Mental Health First Aid Malaysia,Malaysian Mental Health Association's guide to providing mental health first aid in crisis situations.,https://mmha.org.my/mental-health-first-aid/,Article,crisis|first-aid|malaysia|support,informative,all,MMHA,English,Mental Health First Aid Malaysia Malaysian Mental Health Association's guide to providing mental health first aid in crisis situations. crisis|first-aid|malaysia|support Article informative all English,mental health first aid malaysia malaysian mental health associ guid provid mental health first aid crisi situat crisi first aid malaysia support articl inform english
212,Anxiety Tracking Worksheets,Printable worksheets for tracking anxiety triggers symptoms and coping strategies over time.,https://www.therapistaid.com/therapy-worksheets/anxiety-tracker/none,Guide,anxiety|tracking|monitoring|self-awareness,supportive,all,Therapist Aid,English,Anxiety Tracking Worksheets Printable worksheets for tracking anxiety triggers symptoms and coping strategies over time. anxiety|tracking|monitoring|self-awareness Guide supportive all English,anxieti track worksheet printabl worksheet track anxieti trigger symptom cope strategi time anxieti track monitor self awar guid support english
212,Anxiety Tracking Worksheets,Printable worksheets for tracking anxiety triggers symptoms and coping strategies over time.,https://www.therapistaid.com/therapy-worksheets/anxiety-tracker/none,Guide,anxiety|tracking|monitoring|self-awareness,supportive,all,Therapist Aid,English,Anxiety Tracking Worksheets Printable worksheets for tracking anxiety triggers symptoms and coping strategies over time. anxiety|tracking|monitoring|self-awareness Guide supportive all English,anxieti track worksheet printabl worksheet track anxieti trigger symptom cope strategi time anxieti track monitor self awar guid support english
213,Ocean Waves Sleep Sounds,Ten-hour ocean waves audio for deep sleep relaxation and stress relief.,https://www.youtube.com/watch?v=V1Xqb-dE6P8,Audio,sleep|relaxation|ocean|nature,calm,all,Relaxing White Noise,English,Ocean Waves Sleep Sounds Ten-hour ocean waves audio for deep sleep relaxation and stress relief. sleep|relaxation|ocean|nature Audio calm all English,ocean wave sleep sound ten hour ocean wave audio deep sleep relax stress relief sleep relax ocean natur audio calm english
213,Ocean Waves Sleep Sounds,Ten-hour ocean waves audio for deep sleep relaxation and stress relief.,https://www.youtube.com/watch?v=V1Xqb-dE6P8,Audio,sleep|relaxation|ocean|nature,calm,all,Relaxing White Noise,English,Ocean Waves Sleep Sounds Ten-hour ocean waves audio for deep sleep relaxation and stress relief. sleep|relaxation|ocean|nature Audio calm all English,ocean wave sleep sound ten hour ocean wave audio deep sleep relax stress relief sleep relax ocean natur audio calm english
214,Understanding Dissociation,Educational article about dissociation symptoms triggers and grounding techniques for management.,https://www.mind.org.uk/information-support/types-of-mental-health-problems/dissociation-and-dissociative-disorders/,Article,dissociation|trauma|grounding|coping,informative,all,Mind UK,English,Understanding Dissociation Educational article about dissociation symptoms triggers and grounding techniques for management. dissociation|trauma|grounding|coping Article informative all English,understand dissoci educ articl dissoci symptom trigger ground techniqu manag dissoci trauma ground cope articl inform english
214,Understanding Dissociation,Educational article about dissociation symptoms triggers and grounding techniques for management.,https://www.mind.org.uk/information-support/types-of-mental-health-problems/dissociation-and-dissociative-disorders/,Article,dissociation|trauma|grounding|coping,informative,all,Mind UK,English,Understanding Dissociation Educational article about dissociation symptoms triggers and grounding techniques for management. dissociation|trauma|grounding|coping Article informative all English,understand dissoci educ articl dissoci symptom trigger ground techniqu manag dissoci trauma ground cope articl inform english
215,UPM Counselling Services,Universiti Putra Malaysia student counselling center offering mental health support and workshops.,https://bahepi.upm.edu.my/kaunseling-pelajar,Helpline,students|counseling|malaysia|university,supportive,students,UPM,English,UPM Counselling Services Universiti Putra Malaysia student counselling center offering mental health support and workshops. students|counseling|malaysia|university Helpline supportive students English,upm counsel servic univers putra malaysia student counsel center offer mental health support workshop student counsel malaysia univers helplin support student english
215,UPM Counselling Services,Universiti Putra Malaysia student counselling center offering mental health support and workshops.,https://bahepi.upm.edu.my/kaunseling-pelajar,Helpline,students|counseling|malaysia|university,supportive,students,UPM,English,UPM Counselling Services Universiti Putra Malaysia student counselling center offering mental health support and workshops. students|counseling|malaysia|university Helpline supportive students English,upm counsel servic univers putra malaysia student counsel center offer mental health support workshop student counsel malaysia univers helplin support student english
216,Values Clarification Exercise,Guided exercise to identify personal values and align actions with what matters most for wellbeing.,https://www.therapistaid.com/therapy-worksheet/values-clarification,Guide,values|meaning|wellbeing|self-discovery,supportive,all,Therapist Aid,English,Values Clarification Exercise Guided exercise to identify personal values and align actions with what matters most for wellbeing. values|meaning|wellbeing|self-discovery Guide supportive all English,valu clarif exercis guid exercis identifi person valu align action matter wellb valu mean wellb self discoveri guid support english
216,Values Clarification Exercise,Guided exercise to identify personal values and align actions with what matters most for wellbeing.,https://www.therapistaid.com/therapy-worksheet/values-clarification,Guide,values|meaning|wellbeing|self-discovery,supportive,all,Therapist Aid,English,Values Clarification Exercise Guided exercise to identify personal values and align actions with what matters most for wellbeing. values|meaning|wellbeing|self-discovery Guide supportive all English,valu clarif exercis guid exercis identifi person valu align action matter wellb valu mean wellb self discoveri guid support english
217,ASMR for Anxiety Relief,Gentle ASMR video designed to trigger relaxation response and reduce anxiety symptoms.,https://www.youtube.com/watch?v=8IhYc15k5ZM,Video,asmr|anxiety|relaxation|stress,calm,all,Gentle Whispering ASMR,English,ASMR for Anxiety Relief Gentle ASMR video designed to trigger relaxation response and reduce anxiety symptoms. asmr|anxiety|relaxation|stress Video calm all English,asmr anxieti relief gentl asmr video design trigger relax respons reduc anxieti symptom asmr anxieti relax stress video calm english
217,ASMR for Anxiety Relief,Gentle ASMR video designed to trigger relaxation response and reduce anxiety symptoms.,https://www.youtube.com/watch?v=8IhYc15k5ZM,Video,asmr|anxiety|relaxation|stress,calm,all,Gentle Whispering ASMR,English,ASMR for Anxiety Relief Gentle ASMR video designed to trigger relaxation response and reduce anxiety symptoms. asmr|anxiety|relaxation|stress Video calm all English,asmr anxieti relief gentl asmr video design trigger relax respons reduc anxieti symptom asmr anxieti relax stress video calm english
218,Panic Attack Management Plan,Step-by-step guide to creating a personalized panic attack management and safety plan.,https://www.anxietycanada.com/articles/panic-disorder/,Article,panic|anxiety|crisis-plan|coping,supportive,all,Anxiety Canada,English,Panic Attack Management Plan Step-by-step guide to creating a personalized panic attack management and safety plan. panic|anxiety|crisis-plan|coping Article supportive all English,panic attack manag plan step step guid creat person panic attack manag safeti plan panic anxieti crisi plan cope articl support english
218,Panic Attack Management Plan,Step-by-step guide to creating a personalized panic attack management and safety plan.,https://www.anxietycanada.com/articles/panic-disorder/,Article,panic|anxiety|crisis-plan|coping,supportive,all,Anxiety Canada,English,Panic Attack Management Plan Step-by-step guide to creating a personalized panic attack management and safety plan. panic|anxiety|crisis-plan|coping Article supportive all English,panic attack manag plan step step guid creat person panic attack manag safeti plan panic anxieti crisi plan cope articl support english
219,Mood Tracking Apps Guide,Comprehensive review of evidence-based mood tracking applications for mental health monitoring.,https://www.verywellmind.com/best-mood-tracker-apps-4176315,Article,mood-tracking|apps|monitoring|technology,informative,young_adults,Verywell Mind,English,Mood Tracking Apps Guide Comprehensive review of evidence-based mood tracking applications for mental health monitoring. mood-tracking|apps|monitoring|technology Article informative young_adults English,mood track app guid comprehens review evid base mood track applic mental health monitor mood track app monitor technolog articl inform young adult english
219,Mood Tracking Apps Guide,Comprehensive review of evidence-based mood tracking applications for mental health monitoring.,https://www.verywellmind.com/best-mood-tracker-apps-4176315,Article,mood-tracking|apps|monitoring|technology,informative,young_adults,Verywell Mind,English,Mood Tracking Apps Guide Comprehensive review of evidence-based mood tracking applications for mental health monitoring. mood-tracking|apps|monitoring|technology Article informative young_adults English,mood track app guid comprehens review evid base mood track applic mental health monitor mood track app monitor technolog articl inform young adult english
220,Bedtime Yoga for Sleep,Gentle 20-minute bedtime yoga routine to release tension and prepare body for sleep.,https://www.youtube.com/watch?v=v7SN-d4qXx0,Video,yoga|sleep|relaxation|stretching,calm,all,Yoga With Adriene,English,Bedtime Yoga for Sleep Gentle 20-minute bedtime yoga routine to release tension and prepare body for sleep. yoga|sleep|relaxation|stretching Video calm all English,bedtim yoga sleep gentl 20 minut bedtim yoga routin releas tension prepar bodi sleep yoga sleep relax stretch video calm english
220,Bedtime Yoga for Sleep,Gentle 20-minute bedtime yoga routine to release tension and prepare body for sleep.,https://www.youtube.com/watch?v=v7SN-d4qXx0,Video,yoga|sleep|relaxation|stretching,calm,all,Yoga With Adriene,English,Bedtime Yoga for Sleep Gentle 20-minute bedtime yoga routine to release tension and prepare body for sleep. yoga|sleep|relaxation|stretching Video calm all English,bedtim yoga sleep gentl 20 minut bedtim yoga routin releas tension prepar bodi sleep yoga sleep relax stretch video calm english
221,UTM Student Counselling,Universiti Teknologi Malaysia counselling services providing confidential mental health support.,https://sps.utm.my/kaunseling/,Helpline,students|counseling|malaysia|university,supportive,students,UTM,English,UTM Student Counselling Universiti Teknologi Malaysia counselling services providing confidential mental health support. students|counseling|malaysia|university Helpline supportive students English,utm student counsel univers teknolog malaysia counsel servic provid confidenti mental health support student counsel malaysia univers helplin support student english
221,UTM Student Counselling,Universiti Teknologi Malaysia counselling services providing confidential mental health support.,https://sps.utm.my/kaunseling/,Helpline,students|counseling|malaysia|university,supportive,students,UTM,English,UTM Student Counselling Universiti Teknologi Malaysia counselling services providing confidential mental health support. students|counseling|malaysia|university Helpline supportive students English,utm student counsel univers teknolog malaysia counsel servic provid confidenti mental health support student counsel malaysia univers helplin support student english
222,Cognitive Distortions List,Educational guide identifying common thinking errors that contribute to anxiety and depression.,https://www.therapistaid.com/therapy-worksheet/cbt-cognitive-distortions,Guide,cbt|thoughts|distortions|awareness,informative,all,Therapist Aid,English,Cognitive Distortions List Educational guide identifying common thinking errors that contribute to anxiety and depression. cbt|thoughts|distortions|awareness Guide informative all English,cognit distort list educ guid identifi common think error contribut anxieti depress cbt thought distort awar guid inform english
222,Cognitive Distortions List,Educational guide identifying common thinking errors that contribute to anxiety and depression.,https://www.therapistaid.com/therapy-worksheet/cbt-cognitive-distortions,Guide,cbt|thoughts|distortions|awareness,informative,all,Therapist Aid,English,Cognitive Distortions List Educational guide identifying common thinking errors that contribute to anxiety and depression. cbt|thoughts|distortions|awareness Guide informative all English,cognit distort list educ guid identifi common think error contribut anxieti depress cbt thought distort awar guid inform english
223,Rain and Thunder Sleep Sounds,Eight-hour thunderstorm audio for deep sleep masking and anxiety reduction.,https://www.youtube.com/watch?v=nDq6TstdEi8,Audio,sleep|relaxation|rain|nature,calm,all,Relaxing White Noise,English,Rain and Thunder Sleep Sounds Eight-hour thunderstorm audio for deep sleep masking and anxiety reduction. sleep|relaxation|rain|nature Audio calm all English,rain thunder sleep sound eight hour thunderstorm audio deep sleep mask anxieti reduct sleep relax rain natur audio calm english
223,Rain and Thunder Sleep Sounds,Eight-hour thunderstorm audio for deep sleep masking and anxiety reduction.,https://www.youtube.com/watch?v=nDq6TstdEi8,Audio,sleep|relaxation|rain|nature,calm,all,Relaxing White Noise,English,Rain and Thunder Sleep Sounds Eight-hour thunderstorm audio for deep sleep masking and anxiety reduction. sleep|relaxation|rain|nature Audio calm all English,rain thunder sleep sound eight hour thunderstorm audio deep sleep mask anxieti reduct sleep relax rain natur audio calm english
224,Existential Anxiety Guide,Understanding existential anxiety its triggers and philosophical approaches to finding meaning.,https://www.psychologytoday.com/us/blog/theory-and-psychopathology/201901/existential-anxiety,Article,anxiety|existential|meaning|philosophy,informative,young_adults,Psychology Today,English,Existential Anxiety Guide Understanding existential anxiety its triggers and philosophical approaches to finding meaning. anxiety|existential|meaning|philosophy Article informative young_adults English,existenti anxieti guid understand existenti anxieti trigger philosoph approach find mean anxieti existenti mean philosophi articl inform young adult english
224,Existential Anxiety Guide,Understanding existential anxiety its triggers and philosophical approaches to finding meaning.,https://www.psychologytoday.com/us/blog/theory-and-psychopathology/201901/existential-anxiety,Article,anxiety|existential|meaning|philosophy,informative,young_adults,Psychology Today,English,Existential Anxiety Guide Understanding existential anxiety its triggers and philosophical approaches to finding meaning. anxiety|existential|meaning|philosophy Article informative young_adults English,existenti anxieti guid understand existenti anxieti trigger philosoph approach find mean anxieti existenti mean philosophi articl inform young adult english
225,UKM Student Counselling,Universiti Kebangsaan Malaysia counselling unit offering mental health support for students.,https://www.ukm.my/hal-ehwal-pelajar/unit-kaunseling-dan-kerjaya/,Helpline,students|counseling|malaysia|university,supportive,students,UKM,English,UKM Student Counselling Universiti Kebangsaan Malaysia counselling unit offering mental health support for students. students|counseling|malaysia|university Helpline supportive students English,ukm student counsel univers kebangsaan malaysia counsel unit offer mental health support student student counsel malaysia univers helplin support student english
225,UKM Student Counselling,Universiti Kebangsaan Malaysia counselling unit offering mental health support for students.,https://www.ukm.my/hal-ehwal-pelajar/unit-kaunseling-dan-kerjaya/,Helpline,students|counseling|malaysia|university,supportive,students,UKM,English,UKM Student Counselling Universiti Kebangsaan Malaysia counselling unit offering mental health support for students. students|counseling|malaysia|university Helpline supportive students English,ukm student counsel univers kebangsaan malaysia counsel unit offer mental health support student student counsel malaysia univers helplin support student english
226,Self-Care Assessment Tool,Interactive self-care assessment to identify areas needing attention and create action plan.,https://www.therapistaid.com/therapy-worksheet/self-care-assessment,Guide,self-care|assessment|planning|wellbeing,supportive,all,Therapist Aid,English,Self-Care Assessment Tool Interactive self-care assessment to identify areas needing attention and create action plan. self-care|assessment|planning|wellbeing Guide supportive all English,self care assess tool interact self care assess identifi area need attent creat action plan self care assess plan wellb guid support english
226,Self-Care Assessment Tool,Interactive self-care assessment to identify areas needing attention and create action plan.,https://www.therapistaid.com/therapy-worksheet/self-care-assessment,Guide,self-care|assessment|planning|wellbeing,supportive,all,Therapist Aid,English,Self-Care Assessment Tool Interactive self-care assessment to identify areas needing attention and create action plan. self-care|assessment|planning|wellbeing Guide supportive all English,self care assess tool interact self care assess identifi area need attent creat action plan self care assess plan wellb guid support english
